idCliente,cuit,nombre,apellido
1,20-29353823-0,Paula,Mayer
2,20-68346622-9,Echo,Harris
3,20-92420824-1,Emery,Gibbs
4,20-30019343-1,Omar,Mccall
5,20-58314108-9,Hollee,Guerra
6,20-43419923-5,Elizabeth,Baxter
7,20-75558482-6,Dennis,Beard
8,20-34270247-8,Noelle,Rivas
9,20-18246048-0,Cole,Joyner
10,20-89239217-0,Blaze,Macias
11,20-24047184-4,Yvonne,Simpson
12,20-57263313-3,Robert,Nixon
13,20-90077986-1,Vaughan,Blackwell
14,20-84949553-0,Ariana,Singleton
15,20-25549350-3,Zena,Juarez
16,20-39107331-8,Leandro,Sobrino
17,20-18918918-6,Juan,Alvarez
