id Cliente,Cuit,Nombre,Apellido,cantidad de Ventas 
1,20-29353823-0,Paula,Mayer,1
2,20-68346622-9,Echo,Harris,1
3,20-92420824-1,Emery,Gibbs,0
4,20-30019343-1,Omar,Mccall,0
5,20-58314108-9,Hollee,Guerra,1
6,20-43419923-5,Elizabeth,Baxter,0
7,20-75558482-6,Dennis,Beard,1
8,20-34270247-8,Noelle,Rivas,1
9,20-18246048-0,Cole,Joyner,0
10,20-89239217-0,Blaze,Macias,1
11,20-24047184-4,Yvonne,Simpson,2
12,20-57263313-3,Robert,Nixon,0
13,20-90077986-1,Vaughan,Blackwell,3
14,20-84949553-0,Ariana,Singleton,3
15,20-25549350-3,Zena,Juarez,0
16,20-39107331-8,Leandro,Sobrino,0
17,20-18918918-6,Juan,Alvarez,0
